                      _                    __ _     _   
 /\   /\___ _ __   __| | ___  _ __ ___    / /(_)___| |_ 
 \ \ / / _ \ '_ \ / _` |/ _ \| '__/ __|  / / | / __| __|
  \ V /  __/ | | | (_| | (_) | |  \__ \ / /__| \__ \ |_ 
   \_/ \___|_| |_|\__,_|\___/|_|  |___/ \____/_|___/\__|



004097	DATEX DIVISION OF
00E019	ING. GIORDANO ELETTRONICA
00E01A	COMTEC SYSTEMS. CO., LTD.
00E01B	SPHERE COMMUNICATIONS, INC.
00E01C	Cradlepoint, Inc
00E01D	WebTV NETWORKS, INC.
00E01E	Cisco
00E01F	AVIDIA Systems, Inc.
00E020	TECNOMEN OY
00E021	FREEGATE CORP.
00E022	Analog Devices, Inc.
00E023	Telrad
00E024	GADZOOX NETWORKS
00E025	dit Co., Ltd.
00E026	Redlake MASD LLC
00E027	DUX, INC.
00E028	APTIX CORPORATION
00E029	SMC EtherPower II 10/100
00E02A	TANDBERG TELEVISION AS
00E02B	Extreme Networks
00E02C	AST - built into 5166M PC motherboard (win95 id's as Intel)
00E02D	InnoMediaLogic, Inc.
00E02E	SPC ELECTRONICS CORPORATION
00E02F	MCNS HOLDINGS, L.P.
00E030	MELITA INTERNATIONAL CORP.
00E031	HAGIWARA ELECTRIC CO., LTD.
00E032	MISYS FINANCIAL SYSTEMS, LTD.
00E033	E.E.P.D. GmbH
00E034	Cisco
00E035	Artesyn Embedded Technologies
00E036	PIONEER CORPORATION
00E037	CENTURY CORPORATION
00E038	PROXIMA CORPORATION
00E039	Paradyne 7112 T1 DSU/CSU
00E03A	Cabletron Systems, Inc.
00E03B	PROMINET CORPORATION
00E03C	Advansys
00E03D	FOCON ELECTRONIC SYSTEMS A/S
00E03E	ALFATECH, INC.
00E03F	JATON CORPORATION
00E040	DeskStation Technology, Inc.
00E041	Cspi
00E042	Pacom Systems Ltd.
00E043	Vitalcom
00E044	LSICS CORPORATION
00E045	TOUCHWAVE, INC.
00E046	BENTLY NEVADA CORP.
00E047	InFocus Corporation
00E048	SDL COMMUNICATIONS, INC.
00E049	MICROWI ELECTRONIC GmbH
00E04A	ZX Technologies, Inc
00E04B	JUMP INDUSTRIELLE COMPUTERTECHNIK GmbH
00E04C	REALTEK SEMICONDUCTOR CORP.
00E04D	INTERNET INITIATIVE JAPAN, INC
00E04E	SANYO DENKI CO., LTD.
00E04F	Cisco
00E050	EXECUTONE INFORMATION SYSTEMS, INC.
00E051	TALX CORPORATION
00E052	Brocade Communications Systems, Inc.
00E053	CELLPORT LABS, INC.
00E054	KODAI HITEC CO., LTD.
00E055	INGENIERIA ELECTRONICA COMERCIAL INELCOM S.A.
00E056	HOLONTECH CORPORATION
00E057	HAN MICROTELECOM. CO., LTD.
00E058	PHASE ONE DENMARK A/S
00E059	CONTROLLED ENVIRONMENTS, LTD.
00E05A	GALEA NETWORK SECURITY
00E05B	WEST END SYSTEMS CORP.
00E05C	Panasonic Healthcare Co., Ltd.
00E05D	UNITEC CO., LTD.
00E05E	JAPAN AVIATION ELECTRONICS INDUSTRY, LTD.
00E05F	e-Net, Inc.
00E060	Sherwood
00E061	EdgePoint Networks, Inc.
00E062	HOST ENGINEERING
00E063	Cabletron Systems, Inc.
00E064	SAMSUNG ELECTRONICS
00E065	OPTICAL ACCESS INTERNATIONAL
00E066	ProMax Systems, Inc.
00E067	eac AUTOMATION-CONSULTING GmbH
00E068	MERRIMAC SYSTEMS INC.
00E069	Jaycor
00E06A	KAPSCH AG
00E06B	W&G SPECIAL PRODUCTS
00E06C	Ultra Electronics Command & Control Systems
00E06D	COMPUWARE CORPORATION
00E06E	FAR SYSTEMS S.p.A.
00E06F	ARRIS Group, Inc.
00E070	DH TECHNOLOGY
00E071	EPIS MICROCOMPUTER
00E072	Lynk
00E073	NATIONAL AMUSEMENT NETWORK, INC.
00E074	TIERNAN COMMUNICATIONS, INC.
00E075	Verilink Corporation
00E076	DEVELOPMENT CONCEPTS, INC.
00E077	WEBGEAR, INC.
00E078	BERKELEY NETWORKS
00E079	A.T.N.R.
00E07A	MIKRODIDAKT AB
00E07B	BAY NETWORKS
00E07C	Mettler-               # METTLER-TOLEDO, INC.
00E07D	Encore (Netronix?)		10/100 PCI Fast ethernet card
00E07E	WALT DISNEY IMAGINEERING
00E07F	LOGISTISTEM s.r.l.
00E080	CONTROL RESOURCES CORPORATION
00E081	Tyan Computer Corp.		Onboard Intel 82558 10/100
00E082	Anerma
00E083	Jato Technologies, Inc.
00E084	COMPULITE R&D
00E085	GLOBAL MAINTECH, INC.
00E086	Emerson Network Power, Avocent Division
00E087	LeCroy - Networking Productions Division
00E088	LTX-Credence CORPORATION
00E089	ION Networks, Inc.
00E08A	GEC AVERY, LTD.
00E08B	QLogic Corporation
00E08C	NEOPARADIGM LABS, INC.
00E08D	PRESSURE SYSTEMS, INC.
00E08E	UTSTARCOM
00E08F	Cisco Systems			Catalyst 2900 series
00E090	BECKMAN LAB. AUTOMATION DIV.
00E091	LG Electronics
00E092	ADMTEK INCORPORATED
00E093	ACKFIN NETWORKS
00E094	OSAI SRL
00E095	ADVANCED-VISION TECHNOLGIES CORP.
00E096	SHIMADZU CORPORATION
00E097	CARRIER ACCESS CORPORATION
00E098	Trend
00E099	SAMSON AG
00E09A	Positron Inc.
00E09B	ENGAGE NETWORKS, INC.
00E09C	Mii
00E09D	SARNOFF CORPORATION
00E09E	Quantum Corporation
00E09F	PIXEL VISION
00E0A0	WILTRON CO.
00E0A1	HIMA PAUL HILDEBRANDT GmbH Co. KG
00E0A2	MICROSLATE INC.
00E0A3	Cisco Systems			Catalyst 1924
00E0A4	ESAOTE S.p.A.
00E0A5	ComCore Semiconductor, Inc.
00E0A6	TELOGY NETWORKS, INC.
00E0A7	IPC INFORMATION SYSTEMS, INC.
00E0A8	SAT GmbH & Co.
00E0A9	FUNAI ELECTRIC CO., LTD.
00E0AA	ELECTROSONIC LTD.
00E0AB	DIMAT S.A.
00E0AC	MIDSCO, INC.
00E0AD	EES TECHNOLOGY, LTD.
00E0AE	XAQTI CORPORATION
00E0AF	GENERAL DYNAMICS INFORMATION SYSTEMS
00E0B0	Cisco Systems			Various systems reported
00E0B1	Alcatel-               # Alcatel-Lucent Enterprise
00E0B2	TELMAX COMMUNICATIONS CORP.
00E0B3	EtherWAN Systems, Inc.
00E0B4	TECHNO SCOPE CO., LTD.
00E0B5	ARDENT COMMUNICATIONS CORP.
00E0B6	Entrada Networks
00E0B7	PI GROUP, LTD.
00E0B8	AMD PCNet			in a Gateway 2000
00E0B9	BYAS SYSTEMS
00E0BA	BERGHOF AUTOMATIONSTECHNIK GmbH
00E0BB	NBX CORPORATION
00E0BC	SYMON COMMUNICATIONS, INC.
00E0BD	INTERFACE SYSTEMS, INC.
00E0BE	GENROCO INTERNATIONAL, INC.
00E0BF	TORRENT NETWORKING TECHNOLOGIES CORP.
00E0C0	SEIWA ELECTRIC MFG. CO., LTD.
00E0C1	MEMOREX TELEX JAPAN, LTD.
00E0C2	NECSY S.p.A.
00E0C3	SAKAI SYSTEM DEVELOPMENT CORP.
00E0C4	HORNER ELECTRIC, INC.
00E0C5	BCOM Electronics Inc.
00E0C6	LINK2IT, L.L.C.
00E0C7	EUROTECH SRL
00E0C8	VIRTUAL ACCESS, LTD.
00E0C9	AutomatedLogic Corporation
00E0CA	BEST DATA PRODUCTS
00E0CB	RESON, INC.
00E0CC	HERO SYSTEMS, LTD.
00E0CD	SAAB SENSIS CORPORATION
00E0CE	Arn
00E0CF	INTEGRATED DEVICE
00E0D0	NETSPEED, INC.
00E0D1	TELSIS LIMITED
00E0D2	VERSANET COMMUNICATIONS, INC.
00E0D3	DATENTECHNIK GmbH
00E0D4	EXCELLENT COMPUTER
00E0D5	Emulex Corporation
00E0D6	COMPUTER & COMMUNICATION RESEARCH LAB.
00E0D7	SUNSHINE ELECTRONICS, INC.
00E0D8	LANBit Computer, Inc.
00E0D9	TAZMO CO., LTD.
00E0DA	Alcatel-               # Alcatel-Lucent Enterprise
00E0DB	ViaVideo Communications, Inc.
00E0DC	NEXWARE CORP.
00E0DD	Zenith Electronics Corporation
00E0DE	DATAX NV
00E0DF	KEYMILE GmbH
00E0E0	SI ELECTRONICS, LTD.
00E0E1	G2 NETWORKS, INC.
00E0E2	INNOVA CORP.
00E0E3	SK-ELEKTRONIK GMBH
00E0E4	FANUC ROBOTICS NORTH AMERICA, Inc.
00E0E5	CINCO NETWORKS, INC.
00E0E6	INCAA Computers
00E0E7	RAYTHEON E-SYSTEMS, INC.
00E0E8	GRETACODER Data Systems AG
00E0E9	DATA LABS, INC.
00E0EA	INNOVAT COMMUNICATIONS, INC.
00E0EB	DIGICOM SYSTEMS, INCORPORATED
00E0EC	CELESTICA INC.
00E0ED	New Link
00E0EE	MAREL HF
00E0EF	Dionex
00E0F0	ABLER TECHNOLOGY, INC.
00E0F1	THAT CORPORATION
00E0F2	ARLOTTO COMNET, INC.
00E0F3	WebSprint Communications, Inc.
00E0F4	INSIDE Technology A/S
00E0F5	TELES AG
00E0F6	DECISION EUROPE
00E0F7	Cisco
00E0F8	DICNA CONTROL AB
00E0F9	Cisco
00E0FA	TRL TECHNOLOGY, LTD.
00E0FB	LEIGHTRONIX, INC.
00E0FC	HUAWEI TECHNOLOGIES CO.,LTD
00E0FD	A-TREND TECHNOLOGY CO., LTD.
00E0FE	Cisco
00E0FF	SECURITY DYNAMICS TECHNOLOGIES, Inc.
00E16D	Cisco Systems, Inc
00E175	AK-Systems Ltd
00E3B2	Samsung Electronics Co.,Ltd
00E400	Sichuan Changhong Electric Ltd.
00E666	ARIMA Communications Corp.
00E6D3	NIXDORF COMPUTER CORP.
00E6E8	Netzin Technology Corporation,.Ltd.
00E8AB	Meggitt Training Systems, Inc.
00EB2D	Sony Mobile Communications AB
00EBD5	Cisco Systems, Inc
00EEBD	HTC Corporation
00F051	KWB Gmbh
00F22C	Shanghai B-star Technology Co.,Ltd.
00F28B	Cisco Systems, Inc
00F3DB	WOO Sports
00F403	Orbis Systems Oy
00F46F	Samsung Electronics Co.,Ltd
00F4B9	Apple, Inc.
00F663	Cisco Systems, Inc
00F76F	Apple, Inc.
00F81C	HUAWEI TECHNOLOGIES CO.,LTD
00F82C	Cisco Systems, Inc
00F860	PT. Panggung Electric Citrabuana
00F871	DGS Denmark A/S
00FA3B	CLOOS ELECTRONIC GMBH
00FC58	WebSilicon Ltd.
00FC70	Intrepid Control Systems, Inc.
00FC8D	Hitron Technologies. Inc
00FD45	Hewlett Packard Enterprise
00FD4C	Nevatec
00FEC8	Cisco Systems, Inc
010ECF	PROFINET Multicast
020406	BBN				internal usage (not registered)
020701	Interlan [now Racal-InterLAN]	DEC (UNIBUS or QBUS), Apollo, Cisco
021C7C	PERQ SYSTEMS CORPORATION
022048	At least some 2810 send with locally assigned flag set
026060	3com
026086	Satelcom MegaPac (UK)
02608C	3Com				IBM PC; Imagen; Valid; Cisco; Macintosh
027001	RACAL-DATACOM
0270B0	M/A-COM INC. COMPANIES
0270B3	DATA RECALL LTD.
029D8E	CARDIAC RECORDERS, INC.
02A0C9	Intel
02AA3C	Olivetti
02BB01	OCTOTHORPE CORP.
02C08C	3COM CORPORATION
02CF1C	Communication Machinery Corporation
02CF1F	CMC
02E03B	Prominet Corporation		Gigabit Ethernet Switch
02E6D3	BTI (Bus-Tech, Inc.)		IBM Mainframes
04021F	HUAWEI TECHNOLOGIES CO.,LTD
0404EA	Valens Semiconductor Ltd.
040A83	Alcatel-               # Alcatel-Lucent
040AE0	XMIT AG COMPUTER NETWORKS
040CCE	Apple, Inc.
040EC2	ViewSonic Mobile China Limited
041552	Apple, Inc.
04180F	Samsung Electronics Co.,Ltd
0418B6	Private
0418D6	Ubiquiti Networks Inc.
041A04	Waveip
041B94	Host Mobility AB
041BBA	Samsung Electronics Co.,Ltd
041D10	Dream Ware Inc.
041E64	Apple, Inc.
041E7A	Dspworks
04209A	Panasonic AVC Networks Company
04214C	Insight Energy Ventures LLC
042234	Wireless Standard Extensions
0425C5	HUAWEI TECHNOLOGIES CO.,LTD
042605	GFR Gesellschaft für Regelungstechnik und Energieeinsparung mbH
042665	Apple, Inc.
042758	HUAWEI TECHNOLOGIES CO.,LTD
042AE2	Cisco Systems, Inc
042BBB	PicoCELA, Inc.
042DB4	First Property (Beijing) Co., Ltd Modern MOMA Branch
042F56	ATOCS (Shenzhen) LTD
043110	Inspur Group Co., Ltd.
0432F4	Partron
043389	HUAWEI TECHNOLOGIES CO.,LTD
043604	Gyeyoung I&T
043D98	ChongQing QingJia Electronics CO.,LTD
044169	Gopro
0444A1	TELECON GALICIA,S.A.
044665	Murata Manufacturing Co., Ltd.
04489A	Apple, Inc.
044A50	Ramaxel Technology (Shenzhen) limited company
044BED	Apple, Inc.
044BFF	GuangZhou Hedy Digital Technology Co., Ltd
044CEF	Fujian Sanao Technology Co.,Ltd
044E06	Ericsson AB
044E5A	ARRIS Group, Inc.
044F8B	Adapteva, Inc.
044FAA	Ruckus Wireless
0452C7	Bose Corporation
0452F3	Apple, Inc.
0453D5	Sysorex Global Holdings
045453	Apple, Inc.
0455CA	BriView (Xiamen) Corp.
045604	Gionee Communication Equipment Co.,Ltd.
04572F	Sertel Electronics UK Ltd
04586F	Sichuan Whayer information industry Co.,LTD
045A95	Nokia Corporation
045C06	Zmodo Technology Corporation
045C8E	gosund GROUP CO.,LTD
045D4B	Sony Corporation
045D56	camtron industrial inc.
045FA7	Shenzhen Yichen Technology Development Co.,LTD
046169	MEDIA GLOBAL LINKS CO., LTD.
046273	Cisco Systems, Inc
0462D7	ALSTOM HYDRO FRANCE
0463E0	Nome Oy
046565	Testop
046785	scemtec Hard- und Software fuer Mess- und Steuerungstechnik GmbH
0469F8	Apple, Inc.
046C9D	Cisco Systems, Inc
046D42	Bryston Ltd.
046E02	OpenRTLS Group
046E49	TaiYear Electronic Technology (Suzhou) Co., Ltd
0470BC	Globalstar Inc.
0474A1	Aligera Equipamentos Digitais Ltda
047503	HUAWEI TECHNOLOGIES CO.,LTD
0475F5	Csst
04766E	ALPS ELECTRIC CO.,LTD.
047863	Shanghai MXCHIP Information Technology Co., Ltd.
047D50	Shenzhen Kang Ying Technology Co.Ltd.
047D7B	QUANTA COMPUTER INC.
047E4A	moobox CO., Ltd.
0481AE	Clack Corporation
04848A	7INOVA TECHNOLOGY LIMITED
048845	Bay Networks			token ring line card
04888C	Eifelwerk Butler Systeme GmbH
0488E2	Beats Electronics LLC
048A15	Avaya Inc
048B42	Skspruce Technology Limited
048C03	ThinPAD Technology (Shenzhen)CO.,LTD
048D38	Netcore Technology Inc.
0492EE	iway AG
04946B	TECNO MOBILE LIMITED
0494A1	CATCH THE WIND INC
049573	zte corporation
0495E6	Tenda Technology Co.,Ltd.Dongguan branch
049645	WUXI SKY CHIP INTERCONNECTION TECHNOLOGY CO.,LTD.
049790	Lartech telecom LLC
0498F3	ALPS ELECTRIC CO.,LTD.
0499E6	Shenzhen Yoostar Technology Co., Ltd
049B9C	Eadingcore  Intelligent Technology Co., Ltd.
049C62	BMT Medical Technology s.r.o.
049F06	Smobile Co., Ltd.
049F81	NetScout Systems, Inc.
049FCA	HUAWEI TECHNOLOGIES CO.,LTD
04A151	Netgear
04A316	Texas Instruments
04A3F3	Emicon
04A82A	Nokia Corporation
04B0E7	HUAWEI TECHNOLOGIES CO.,LTD
04B3B6	Seamap (UK) Ltd
04B466	BSP Co., Ltd.
04B648	Zenner
04BA36	Li Seng Technology Ltd
04BBF9	Pavilion Data Systems Inc
04BD70	HUAWEI TECHNOLOGIES CO.,LTD
04BD88	Aruba Networks
04BF6D	ZyXEL Communications Corporation
04BFA8	ISB Corporation
04C05B	Tigo Energy
04C06F	HUAWEI TECHNOLOGIES CO.,LTD
04C09C	Tellabs Inc.
04C103	Clover Network, Inc.
04C1B9	Fiberhome Telecommunication Technologies Co.,LTD
04C23E	HTC Corporation
04C5A4	Cisco Systems, Inc
04C880	Samtec Inc
04C991	Phistek INC.
04C9D9	Echostar Technologies Corp
04CB1D	Traka plc
04CE14	Wilocity LTD.
04CF25	MANYCOLORS, INC.
04D3CF	Apple, Inc.
04D437	Znv
04D783	Y&H E&C Co.,LTD.
04DAD2	Cisco Systems, Inc
04DB56	Apple, Inc.
04DB8A	Suntech International Ltd.
04DD4C	Velocytech
04DEDB	Rockport Networks Inc
04DEF2	Shenzhen ECOM Technology Co. Ltd
04DF69	Car Connectivity Consortium
04E0C4	Triumph-               # TRIUMPH-ADLER AG
04E1C8	IMS Soluções em Energia Ltda.
04E2F8	AEP Ticketing solutions srl
04E451	Texas Instruments
04E536	Apple, Inc.
04E548	Cohda Wireless Pty Ltd
04E662	Acroname Inc.
04E676	AMPAK Technology, Inc.
04E9E5	PJRC.COM, LLC
04EE91	x-fabric GmbH
04F021	Compex Systems Pte Ltd
04F13E	Apple, Inc.
04F17D	Tarana Wireless
04F4BC	Xena Networks
04F7E4	Apple, Inc.
04F8C2	Flaircomm Microelectronics, Inc.
04F938	HUAWEI TECHNOLOGIES CO.,LTD
04FE31	Samsung Electronics Co.,Ltd
04FE7F	Cisco Systems, Inc
04FE8D	HUAWEI TECHNOLOGIES CO.,LTD
04FEA1	Fihonest communication co.,Ltd
04FF51	NOVAMEDIA INNOVISION SP. Z O.O.
080001	Computer Vision
080002	3Com
080003	ACC
080004	CROMEMCO INCORPORATED
080005	Symbolics			Symbolics LISP machines
080006	Siemens Nixdorf			PC clone
080007	Apple
080008	BBN
080009	HP
08000A	Nestar Systems
08000B	Unisys also Ascom-Timeplex (former Unisys subsidiary)
08000C	MIKLYN DEVELOPMENT CO.
08000D	ICL (International Computers, Ltd.)
08000E	Ncr/At&T
08000F	SMC (Standard Microsystems Corp.)
080010	AT&T [misrepresentation of 800010?]
080011	Tektronix, Inc.
080012	BELL ATLANTIC INTEGRATED SYST.
080013	Exxon
080014	Excelan				BBN Butterfly, Masscomp, Silicon Graphics
080015	STC BUSINESS SYSTEMS
080016	BARRISTER INFO SYS CORP
080017	National Semiconductor Corp. (used to have Network System Corp., wrong NSC)
080018	PIRELLI FOCOM NETWORKS
080019	GENERAL ELECTRIC CORPORATION
08001A	Data General
08001B	Data General
08001C	KDD-KOKUSAI DEBNSIN DENWA CO.
08001D	ABLE COMMUNICATIONS INC.
08001E	Apollo
08001F	Sharp
080020	Sun
080021	3M COMPANY
080022	NBI (Nothing But Initials)
080023	Matsushita Denso
080024	10NET COMMUNICATIONS/DCA
080025	Cdc
080026	Norsk Data (Nord)
080027	PCS Computer Systems GmbH
080028	TI				Explorer
080029	Megatek Corporation
08002A	MOSAIC TECHNOLOGIES INC.
08002B	Dec
08002C	BRITTON LEE INC.
08002D	LAN-TEC INC.
08002E	Metaphor
08002F	Prime Computer			Prime 50-Series LHC300
080030	Cern
080031	LITTLE MACHINES INC.
080032	Tigan
080033	BAUSCH & LOMB
080034	FILENET CORPORATION
080035	MICROFIVE CORPORATION
080036	Intergraph			CAE stations
080037	Fuji Xerox
080038	Bull
080039	Spider Systems
08003A	ORCATECH INC.
08003B	Torus Systems
08003C	SCHLUMBERGER WELL SERVICES
08003D	Cadnetix
08003E	Motorola
08003F	FRED KOSCHARA ENTERPRISES
080040	FERRANTI COMPUTER SYS. LIMITED
080041	DCA (Digital Comm. Assoc.)
080042	JAPAN MACNICS CORP.
080043	PIXEL COMPUTER INC.
080044	DSI (DAVID Systems, Inc.)
080045	???? (maybe Xylogics, but they claim not to know this number)
080046	Sony
080047	Sequent
080048	Eurotherm Gauging Systems
080049	Univation
08004A	BANYAN SYSTEMS INC.
08004B	Planning Research Corp.
08004C	Encore
08004D	CORVUS SYSTEMS INC.
08004E	BICC	[3com bought BICC, so may appear on 3com equipment as well]
08004F	CYGNET SYSTEMS
080050	DAISY SYSTEMS CORP.
080051	Experdata
080052	Insystec
080053	MIDDLE EAST TECH. UNIVERSITY
080055	STANFORD TELECOMM. INC.
080056	Stanford University
080057	Evans & Sutherland (?)
080058	???				DECsystem-20
080059	A/S MYCRON
08005A	Ibm
08005B	VTA TECHNOLOGIES INC.
08005C	FOUR PHASE SYSTEMS
08005D	GOULD INC.
08005E	COUNTERPOINT COMPUTER INC.
08005F	SABER TECHNOLOGY CORP.
080060	INDUSTRIAL NETWORKING INC.
080061	JAROGATE LTD.
080062	General Dynamics
080063	Plessey
080064	Sitasys AG
080065	GENRAD INC.
080066	AGFA				printers, phototypesetters etc.
080067	Comdesign
080068	Ridge
080069	SGI
08006A	Attst?		# ATTst (?)
08006B	ACCEL TECHNOLOGIES INC.
08006C	SUNTEK TECHNOLOGY INT'L
08006D	WHITECHAPEL COMPUTER WORKS
08006E	Excelan
08006F	PHILIPS APELDOORN B.V.
080070	Mitsubishi
080071	MATRA (DSIE)
080072	XEROX CORP UNIV GRANT PROGRAM
080073	TECMAR INC.
080074	Casio
080075	DDE (Danish Data Elektronik A/S)
080076	PC LAN TECHNOLOGIES
080077	TSL (now Retix)
080078	ACCELL CORPORATION
080079	SGI
08007A	Indata
08007B	SANYO ELECTRIC CO. LTD.
08007C	Vitalink			TransLAN III
08007E	AMALGAMATED WIRELESS(AUS) LTD
08007F	CARNEGIE-MELLON UNIVERSITY
080080	Xios
080081	Crosfield Electronics
080082	VERITAS SOFTWARE
080083	Seiko Denshi
080084	TOMEN ELECTRONICS CORP.
080085	Elxsi
080086	Imagen/QMS
080087	Xyplex				terminal servers
080088	McDATA Corporation
080089	Kinetics			AppleTalk-Ethernet interface
08008A	PerfTech, Inc.
08008B	Pyramid
08008C	NETWORK RESEARCH CORPORATION
08008D	XyVision			XyVision machines
08008E	Tandem / Solbourne Computer ?
08008F	Chipcom Corp.
080090	Retix
08010F	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
08028E	Netgear
080371	KRG CORPORATE
080581	Roku, Inc.
0805CD	DongGuang EnMai Electronic Product Co.Ltd.
0808C2	Samsung Electronics Co.,Ltd
0808EA	Amsc
0809B6	Masimo Corp
080A4E	Planet Bingo® — 3rd Rock Gaming®
080C0B	SysMik GmbH Dresden
080CC9	Mission Technology Group, dba Magma
080D84	GECO, Inc.
080EA8	Velex s.r.l.
080FFA	KSP INC.
08115E	Bitel Co., Ltd.
081196	Intel Corporate
081443	UNIBRAIN S.A.
081651	SHENZHEN SEA STAR TECHNOLOGY CO.,LTD
081735	Cisco Systems, Inc
0817F4	IBM Corp
08181A	zte corporation
08184C	A. S. Thomas, Inc.
0819A6	HUAWEI TECHNOLOGIES CO.,LTD
081DFB	Shanghai Mexon Communication Technology Co.,Ltd
081F3F	WondaLink Inc.
081F71	TP-LINK TECHNOLOGIES CO.,LTD.
081FEB	Bincube
081FF3	Cisco Systems, Inc
0821EF	Samsung Electronics Co.,Ltd
0823B2	vivo Mobile Communication Co., Ltd.
082522	Advansee
082719	APS systems/electronic AG
0827CE	NAGANO KEIKI CO., LTD.
082AD0	SRD Innovations Inc.
082CB0	Network Instruments
082E5F	Hewlett Packard
083571	CASwell INC.
08373D	Samsung Electronics Co.,Ltd
08379C	Topaz Co. LTD.
0838A5	Funkwerk plettac electronic GmbH
083A5C	Junilab, Inc.
083AB8	Shinoda Plasma Co., Ltd.
083D88	Samsung Electronics Co.,Ltd
083E0C	ARRIS Group, Inc.
083E5D	Sagemcom Broadband SAS
083E8E	Hon Hai Precision Ind. Co.,Ltd.
083F3E	WSH GmbH
083F76	Intellian Technologies, Inc.
083FBC	zte corporation
084027	Gridstore Inc.
084656	Veo-Labs
08482C	Raycore Taiwan Co., LTD.
084E1C	H2A Systems, LLC
084EBF	Broad Net Mux Corporation
08512E	Orion Diagnostica Oy
085240	EbV Elektronikbau- und Vertriebs GmbH
085700	TP-LINK TECHNOLOGIES CO.,LTD.
085AE0	Recovision Technology Co., Ltd.
085B0E	Fortinet, Inc.
085BDA	CliniCare LTD
085DDD	MERCURY CORPORATION
08606E	ASUSTek COMPUTER INC.
086266	ASUSTek COMPUTER INC.
086361	HUAWEI TECHNOLOGIES CO.,LTD
086698	Apple, Inc.
0868D0	Japan System Design
0868EA	EITO ELECTRONICS CO., LTD.
086A0A	ASKEY COMPUTER CORP
086D41	Apple, Inc.
086DF2	Shenzhen MIMOWAVE Technology Co.,Ltd
087045	Apple, Inc.
087402	Apple, Inc.
0874F6	Winterhalter Gastronom GmbH
087572	Obelux Oy
087618	ViE Technologies Sdn. Bhd.
087695	Auto Industrial Co., Ltd.
0876FF	Thomson Telecom Belgium
087999	AIM GmbH
087A4C	HUAWEI TECHNOLOGIES CO.,LTD
087BAA	SVYAZKOMPLEKTSERVICE, LLC
087CBE	Quintic Corp.
087D21	Altasec technology corporation
088039	Cisco SPVTG
0881BC	HongKong Ipro Technology Co., Limited
0881F4	Juniper Networks
088620	TECNO MOBILE LIMITED
08863B	Belkin International Inc.
088C2C	Samsung Electronics Co.,Ltd
088DC8	Ryowa Electronics Co.,Ltd
088E4F	SF Software Solutions
088F2C	Hills Sound Vision & Lighting
0894EF	Wistron Infocomm (Zhongshan) Corporation
08952A	Technicolor CH USA Inc.
0896AD	Cisco Systems, Inc
0896D7	AVM GmbH
089758	Shenzhen Strong Rising Electronics Co.,Ltd DongGuan Subsidiary
089B4B	iKuai Networks
089E01	QUANTA COMPUTER INC.
089E08	Google, Inc.
089F97	LEROY AUTOMATION
08A12B	ShenZhen EZL Technology Co., Ltd
08A5C8	Sunnovo International Limited
08A95A	AzureWave Technology Inc.
08ACA5	Benu Video, Inc.
08AF78	Totus Solutions, Inc.
08B258	Juniper Networks
08B2A3	Cynny Italia S.r.L.
08B4CF	Abicom International
08B738	Lite-On Technogy Corp.
08B7EC	Wireless Seismic
08BBCC	AK-NORD EDV VERTRIEBSGES. mbH
08BD43	Netgear
08BE09	Astrol Electronic AG
08BE77	Green Electronics
08C021	HUAWEI TECHNOLOGIES CO.,LTD
08C6B3	QTECH LLC
08CA45	Toyou Feiji Electronics Co., Ltd.
08CC68	Cisco Systems, Inc
08CCA7	Cisco Systems, Inc
08CD9B	samtec automotive electronics & software GmbH
08D09F	Cisco Systems, Inc
08D0B7	Qingdao Hisense Communications Co.,Ltd.
08D29A	Proformatique
08D34B	Techman Electronics (Changshu) Co., Ltd.
08D40C	Intel Corporate
08D42B	Samsung Electronics Co.,Ltd
08D5C0	Seers Technology Co., Ltd
08D833	Shenzhen RF Technology Co., Ltd
08DF1F	Bose Corporation
08E5DA	NANJING FUJITSU COMPUTER PRODUCTS CO.,LTD.
08E672	JEBSEE ELECTRONICS CO.,LTD.
08E84F	HUAWEI TECHNOLOGIES CO.,LTD
08EA40	SHENZHEN BILIAN ELECTRONIC CO.，LTD
08EA44	Aerohive Networks Inc.
08EB29	Jiangsu Huitong Group Co.,Ltd.
08EB74	HUMAX Co., Ltd.
08EBED	World Elite Technology Co.,LTD
08ECA9	Samsung Electronics Co.,Ltd
08ED02	IEEE Registration Authority
08EDB9	Hon Hai Precision Ind. Co.,Ltd.
08EE8B	Samsung Electronics Co.,Ltd
08EF3B	MCS Logic Inc.
08EFAB	SAYME WIRELESS SENSOR NETWORK
08F1B7	Towerstream Corpration
08F2F4	Net One Partners Co.,Ltd.
08F6F8	GET Engineering
08F728	GLOBO Multimedia Sp. z o.o. Sp.k.
08FAE0	Fohhn Audio AG
08FC52	OpenXS BV
08FC88	Samsung Electronics Co.,Ltd
08FD0E	Samsung Electronics Co.,Ltd
09006A	AT&T
0C0227	Technicolor CH USA Inc.
0C0400	Jantar d.o.o.
0C0535	Juniper Systems
0C1105	Ringslink (Xiamen) Network Communication Technologies Co., Ltd
0C1167	Cisco Systems, Inc
0C1262	zte corporation
0C130B	Uniqoteq Ltd.
0C1420	Samsung Electronics Co.,Ltd
0C1539	Apple, Inc.
0C15C5	SDTEC Co., Ltd.
0C17F1	Telecsys
